bubble2127000.cpp,0,0,0,0,0,0,0,0,21.0,21,15.0,15
merge2616025.cpp,12.0,13,0,0,0,0,19.5,26,29.166666666666668,60,11.0,11
insertion903470.cpp,0,0,0,0,0,0,0,0,0,0,15.0,15
counting1833900.cpp,0,0,0,0,0,0,0,0,0,0,21.75,34
quick4476229.cpp,0,0,0,0,0,0,16.625,28,8.5,10,0,0
quick2295339.cpp,0,0,0,0,0,0,8.5,12,7.0,7,0,0
merge2379688.cpp,11.0,11,0,0,12.0,13,20.5,27,33.333333333333336,64,0,0
selection1583278.cpp,0,0,13.0,13,18.333333333333332,21,0,0,13.0,13,17.0,17
bubble2692522.cpp,0,0,22.5,23,0,0,0,0,0,0,0,0
counting1833910.cpp,0,0,0,0,0,0,0,0,0,0,18.6,20
quick2350050.cpp,0,0,0,0,0,0,10.625,16,0,0,0,0
insertion2252698.cpp,0,0,23.0,27,16.0,16,0,0,0,0,16.0,16
merge1627388.cpp,8.0,8,0,0,8.0,8,12.666666666666666,13,14.714285714285714,25,0,0
quick882676.cpp,0,0,0,0,0,0,23.25,50,0,0,0,0
insertion1179233.cpp,18.666666666666668,22,23.0,29,17.0,17,0,0,0,0,0,0
counting1833899.cpp,19.0,19,15.0,15,20.0,20,0,0,19.0,19,23.0,23
insertion2692503.cpp,22.5,26,29.8,48,0,0,0,0,0,0,0,0
bubble940920.cpp,21.0,21,0,0,0,0,0,0,22.0,27,20.0,20
counting2651216.cpp,20.0,20,18.0,18,0,0,0,0,20.0,20,25.0,28
counting3118558.cpp,0,0,0,0,0,0,0,0,0,0,20.0,36
counting3097992.cpp,0,0,0,0,0,0,0,0,0,0,24.666666666666668,36
quick1408869.cpp,0,0,0,0,0,0,6.0,9,7.5,13,0,0
merge4609155.cpp,10.0,10,0,0,10.0,10,21.333333333333332,28,23.166666666666668,42,0,0
merge4262026.cpp,15.5,23,0,0,8.0,8,13.0,13,24.0,37,0,0
selection1806847.cpp,0,0,16.0,16,34.0,34,0,0,0,0,0,0
insertion379866.cpp,0,0,24.0,24,0,0,0,0,0,0,0,0
selection2398016.cpp,36.0,53,0,0,34.0,60,0,0,20.0,20,0,0
merge1707052.cpp,0,0,0,0,0,0,13.5,14,13.6,24,0,0
selection2925608.cpp,37.5,49,0,0,33.75,42,0,0,20.666666666666668,23,0,0
selection2848874.cpp,0,0,15.0,15,32.0,32,0,0,17.0,17,0,0
bubble2925584.cpp,25.333333333333332,29,0,0,38.0,53,0,0,22.666666666666668,25,0,0
quick2270634.cpp,0,0,0,0,0,0,14.857142857142858,21,0,0,0,0
quick2800144.cpp,0,0,0,0,0,0,30.166666666666668,42,0,0,0,0
selection773486.cpp,20.0,20,0,0,20.0,20,0,0,21.5,23,0,0
bubble4261240.cpp,20.0,20,0,0,22.666666666666668,28,0,0,54.0,54,0,0
counting3068036.cpp,0,0,0,0,0,0,0,0,0,0,17.75,19
insertion886616.cpp,15.0,15,31.0,37,0,0,0,0,0,0,15.0,15
bubble2674080.cpp,0,0,20.0,20,0,0,0,0,0,0,0,0
quick2845632.cpp,0,0,0,0,0,0,25.0,42,0,0,0,0
quick1038943.cpp,0,0,0,0,0,0,18.25,38,0,0,0,0
insertion2672713.cpp,18.0,18,0,0,0,0,0,0,0,0,0,0
selection444644.cpp,0,0,0,0,20.0,20,0,0,0,0,0,0
bubble3436200.cpp,14.0,14,14.0,14,0,0,0,0,0,0,0,0
counting1985388.cpp,0,0,16.0,16,0,0,0,0,0,0,0,0
bubble2612286.cpp,22.5,29,0,0,0,0,0,0,0,0,0,0
merge877303.cpp,12.5,14,0,0,0,0,13.0,13,26.833333333333332,60,10.0,10
counting2219599.cpp,0,0,0,0,0,0,0,0,0,0,15.0,15
quick4446741.cpp,0,0,0,0,0,0,11.333333333333334,19,10.666666666666666,15,0,0
merge1519521.cpp,14.0,14,0,0,10.0,10,13.0,13,33.375,61,9.0,9
insertion906336.cpp,0,0,21.0,21,0,0,0,0,0,0,0,0
selection1553625.cpp,18.0,18,0,0,31.2,55,0,0,0,0,0,0
selection1230411.cpp,0,0,0,0,24.333333333333332,25,0,0,0,0,0,0
bubble2398015.cpp,31.0,32,0,0,55.0,55,0,0,21.0,21,0,0
merge4123845.cpp,9.0,9,0,0,9.0,9,11.75,13,27.25,52,0,0
bubble2402286.cpp,24.0,24,19.0,19,0,0,0,0,26.0,28,23.0,23
